Word Occurrence Counting using Pthread
Total Words: 295
Threads Used: 4
--------------------------------------
Word                 Frequency
--------------------------------------
a                    11
after                1
all                  3
allows               1
and                  5
are                  2
as                   1
at                   3
balance              1
be                   1
become               1
between              2
but                  1
called               1
can                  3
check                1
complete             2
computer             1
computing            3
concepts             1
contains             1
correct              1
correctly            1
count                1
counting             2
counts               2
current              1
data                 5
day                  1
different            1
divided              1
dynamic              2
each                 3
efficient            1
every                1
execution            2
fast                 1
faster               1
file                 7
files                1
final                3
finish               1
first                1
for                  1
frequencies          1
frequency            1
from                 2
help                 1
helps                2
high                 2
if                   1
important            1
improve              1
in                   4
incorrect            1
input                2
inside               1
into                 2
is                   8
its                  2
large                3
list                 1
local                2
make                 1
makes                1
many                 1
may                  1
merged               1
method               1
multithreaded        1
multithreading       1
must                 1
mutex                2
need                 2
new                  1
occurrence           1
of                   3
one                  3
only                 1
output               2
own                  1
parallel             2
parts                1
performance          4
process              2
processing           3
processor            1
program              10
programming          1
protect              1
protected            1
reads                1
receives             1
reduce               1
repeated             3
result               5
results              1
resulttxt            1
run                  1
same                 3
section              1
sections             1
several              1
shared               3
should               1
show                 1
shows                1
single               1
slicing              2
small                2
stores               1
such                 1
sure                 1
synchronization      1
systems              1
take                 1
task                 1
tasks                2
text                 1
that                 1
the                  19
their                1
then                 1
these                1
they                 1
this                 4
thread               5
threads              7
time                 4
to                   6
two                  1
unit                 1
update               1
updates              1
used                 2
useful               1
uses                 1
variables            1
when                 3
whether              1
word                 3
words                7
work                 1
workload             2
works                1
written              1
